artist_name,year,popularity,genre
sean kingston,2009,71,pop
empire of the sun,2008,77,rock
cobra starship,2009,65,pop
nickelback,2008,66,rock
la roux,2009,71,pop
kasabian,2009,64,rock
calvin harris,2009,55,pop
justin bieber,2009,71,pop
jamie foxx,2008,65,pop
la roux,2009,59,pop
muse,2009,75,rock
nickelback,2008,62,rock
james morrison,2008,70,pop
t.i.,2008,74,pop
dizzee rascal,2011,60,pop
beyoncé,2008,67,pop
boys like girls,2009,64,pop
the-dream,2009,62,pop
onerepublic,2009,74,pop
jls,2013,39,pop
jason aldean,2009,50,country
the fray,2009,67,pop
lily allen,2009,53,pop
kings of leon,2008,80,rock
drake,2010,54,pop
kelly clarkson,2009,56,pop
miley cyrus,2009,79,pop
jordin sparks,2009,57,pop
ne-yo,2008,64,pop
green day,2009,73,rock
keri hilson,2009,57,pop
taylor swift,2008,55,pop
shinedown,2008,67,rock
asher roth,2009,62,pop
katy perry,2008,49,pop
kelly clarkson,2009,68,pop
mumford & sons,2009,68,rock
the fray,2009,73,pop
bruno mars,2010,77,pop
eminem,2010,81,hip-hop
lady gaga,2009,80,pop
stromae,2010,77,pop
kesha,2010,80,pop
david guetta,2010,76,pop
taio cruz,2010,80,pop
rihanna,2010,73,pop
katy perry,2012,72,pop
kesha,2010,68,pop
inna,2010,42,pop
far east movement,2010,73,pop
david guetta,2010,62,pop
